,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,-0.826982,-1.267644,0.696801,-0.817476,0.003761,-0.649810,-0.943422,-1.010777,-0.893862,-0.934543,0.434174
1,-0.821175,-1.183869,0.729500,-0.806729,-0.385190,-0.841667,-0.804514,-1.096865,-0.721668,-0.925395,0.525144
2,-0.852589,-0.462664,0.976182,-0.821312,0.117553,-0.647633,-0.688061,-0.901885,0.620045,-0.861220,0.486134
3,-0.823412,-0.051178,0.388404,-0.593074,-0.026215,-0.453622,-0.749409,-0.910615,-0.313788,-0.654838,0.390510
4,-0.715796,-0.861433,0.465127,-0.902675,-0.113435,-0.797499,-0.832631,-0.965412,-0.633875,-0.879110,0.464455
5,-0.858722,-0.954631,0.401023,-0.919355,0.136099,-0.569138,-0.912116,-1.003377,-0.633478,-1.076519,0.235852
6,-0.674734,-0.741696,-0.118522,-0.909371,-0.369590,-0.777199,-0.796576,-0.936693,-0.542022,-0.916789,0.265956
7,-0.902920,-0.683922,0.259652,-0.691236,-0.039283,-0.437405,-0.658779,-0.917865,-0.490051,-0.782981,0.599868
8,-0.884054,-1.091616,0.327691,-0.840455,0.058835,-0.651644,-0.905672,-0.932726,-0.868336,-0.908401,0.221207
9,-0.805053,-1.175038,0.747472,-0.938948,-0.013999,-0.793241,-1.010279,-1.018356,-0.827855,-0.925453,0.332882
10,-0.904388,-0.576155,0.101801,-0.699223,0.201689,-0.620843,-0.763170,-0.970605,-0.755457,-0.499167,0.883913
11,-0.822171,0.656345,-0.289016,-0.631243,0.066547,-0.656215,-0.696249,-0.843119,-0.204699,-0.571419,0.363647
12,-0.904590,-1.387010,0.506037,-0.982606,-0.036620,-0.650870,-1.011925,-0.980072,-0.751993,-0.739992,0.355755
13,-0.926152,-1.303368,0.625006,-1.002770,-0.033306,-0.721320,-1.032005,-1.049970,-0.380859,-0.966777,0.368763
14,-0.861566,-1.424892,0.749487,-0.933659,-0.351286,-0.772419,-1.090392,-1.051018,-1.183616,-1.019402,0.375029
15,-0.980199,-1.426017,0.666210,-1.001146,-0.078120,-0.777135,-1.029423,-1.027283,-1.090124,-0.993907,0.490998
16,-0.938769,-1.173955,0.726741,-1.038341,-0.455660,-0.578426,-0.694860,-1.036562,-0.932480,-0.806319,0.430678
17,-0.835478,-0.788358,0.237220,-0.829121,-0.087910,-0.597301,-0.797402,-0.973522,-0.696341,-0.752056,-0.037050
18,-0.867298,-1.368427,0.723026,-0.999770,-0.253772,-0.743708,-1.027036,-1.005220,-1.111437,-1.031336,0.455145
19,-0.837171,-1.026578,0.417212,-0.705232,-0.086193,-0.470920,-0.829908,-0.935410,-0.558020,-0.762963,0.736706
20,-0.901178,0.318155,0.250238,-0.758114,0.201702,-0.600463,-0.727569,-0.856574,-0.508808,-0.726542,0.301553
21,-0.929259,-0.437763,0.689213,-0.733187,-0.106672,-0.708823,-0.791447,-0.928874,-0.459822,-0.688877,0.925344
22,-0.812885,-1.342044,0.798713,-1.029206,-0.456834,-0.636275,-0.909093,-0.977078,-1.015979,-1.042665,0.382221
23,-0.889266,-0.220542,-0.665897,-0.821143,0.287783,-0.795808,-0.683836,-0.973251,-0.603139,-0.791852,-0.005212
24,-0.783588,-0.497192,0.387120,-0.705168,-0.173196,-0.499821,-0.738462,-0.883293,-0.589049,-0.759132,0.203491
25,-0.894752,-0.999739,0.621704,-0.874348,-0.141972,-0.781918,-0.773620,-1.016664,-0.737602,-0.909034,0.416403
26,-0.868262,-0.637472,-0.832235,-0.884638,0.844312,-0.962060,-0.805894,-1.012322,-0.941390,-0.960767,0.778827
27,-0.885983,-1.288054,0.680404,-0.953493,-0.333425,-0.844790,-0.951345,-0.980344,-1.068563,-1.011969,0.895066
28,-0.776416,0.867011,0.167249,-0.674656,0.053594,-0.638253,-0.711110,-0.843991,-0.320940,-0.657651,0.564338
29,-0.710797,-0.464292,0.279125,-0.770697,-0.274885,-0.798643,-0.780671,-0.952412,-0.495136,-0.627027,0.514013
30,-0.898095,-0.913592,0.552912,-0.898685,-0.432361,-0.793190,-0.881758,-0.941807,-0.917786,-0.900774,0.818784
31,-0.863024,-0.268400,0.311897,-0.642975,-0.193594,-0.594204,-0.780139,-0.937142,-0.164632,-0.465991,0.517835
32,-0.846586,-1.134213,0.445925,-0.878551,-0.299567,-0.569638,-0.806584,-0.897744,-0.890033,-1.023124,0.401057
33,-1.006041,-1.109639,0.957669,-0.944094,-0.526743,-0.910334,-1.033928,-0.989472,-1.037529,-0.905548,0.775381
34,-0.880749,-1.231420,0.492614,-0.954343,-0.416950,-0.886426,-0.904096,-1.017115,-0.930587,-0.936496,0.197123
35,-0.830149,-0.430706,0.319292,-0.660282,0.110861,-0.684428,-0.755205,-0.879129,-0.358193,-0.746527,0.295600
36,-0.812685,-0.702696,0.658674,-0.823180,-0.334374,-0.653354,-0.915020,-0.943838,-0.661116,-0.775010,0.060822
37,-0.917819,-1.414443,0.907134,-0.739799,-0.515528,-0.561562,-0.800925,-1.049576,-1.075468,-0.984967,0.646387
38,-0.762339,0.275059,0.378194,-0.719971,0.134779,-0.611782,-0.690917,-0.876378,-0.371846,-0.693321,0.391105
39,-0.863240,-0.895666,0.555068,-0.804959,0.217115,-0.530224,-0.835733,-0.923231,-0.460573,-0.772575,0.236506
40,-0.647036,-0.768262,0.789175,-0.700537,-0.061800,-0.744372,-0.789703,-0.910736,-0.824269,-0.883817,0.437193
41,-0.978779,-1.126119,0.342200,-0.849696,-0.096606,-0.453522,-0.692724,-0.953559,-0.845115,-0.919426,0.065807
42,-0.916737,-1.065390,0.400564,-0.908990,-0.070841,-0.647472,-0.945519,-1.040034,-0.998278,-0.673039,0.675435
43,-0.749036,-0.470614,0.218082,-0.781808,0.258942,-0.742012,-0.783061,-0.864535,-0.522313,-0.746190,0.264838
44,-0.872968,-0.494991,0.134394,-0.755695,-0.037444,-0.507596,-0.732043,-0.853003,-0.863474,-0.793171,0.345004
45,-0.731234,-1.008975,0.643994,-0.788251,0.044981,-0.721190,-0.857032,-0.963575,-0.846911,-1.055865,0.435335
46,-0.753856,-0.515302,0.273855,-0.627113,-0.002490,-0.491386,-0.774705,-0.823949,-0.310512,-0.645129,0.373962
47,-0.900712,-1.190084,0.358842,-0.899847,-0.366121,-0.642208,-0.840065,-1.058128,-0.015191,-0.509895,0.125109
48,-0.875865,-0.925284,0.890839,-0.727492,-0.092394,-0.547993,-0.831685,-0.860296,-0.399545,-0.913153,0.528863
49,-0.844027,-0.263061,1.030805,-0.799709,0.317537,-0.781185,-0.729771,-0.941279,-0.829798,-0.872809,0.590894
50,-0.807583,-0.496923,0.271975,-0.792109,-0.164790,-0.525525,-0.799239,-0.832690,-0.371191,-0.685180,0.220264
51,-0.886670,-1.183811,0.974659,-0.837827,-0.203068,-1.023519,-0.862828,-1.059954,-0.897069,-1.016075,0.659567
52,-0.845053,-1.354916,0.926662,-0.927596,-0.509544,-0.715690,-1.059521,-1.038523,-0.996555,-0.946884,0.359615
53,-0.809847,-0.678766,0.252866,-0.678480,-0.151014,-0.361687,-0.920624,-0.896094,-0.425255,-0.742415,0.485930
54,-0.830532,-0.025861,0.323368,-0.590043,-0.003703,-0.582561,-0.764753,-0.885483,-0.346271,-0.663013,0.522812
55,-0.970314,-1.058352,0.333789,-0.841949,-0.758386,-0.788155,-0.898582,-1.001821,-0.913971,-0.985116,0.729162
56,-0.796324,-1.148368,0.681523,-0.999735,-0.392198,-0.668952,-1.018276,-1.005087,-1.082717,-0.962710,0.272023
57,-0.804074,-0.168615,0.445515,-0.534797,-0.028810,-0.395027,-0.833095,-0.862384,-0.466206,-0.578818,0.500237
58,-0.799434,-1.046816,0.456652,-0.911093,-0.417100,-0.610268,-0.902865,-0.978595,0.782368,-0.807393,0.244313
59,-0.869898,-1.005978,0.838004,-0.905587,-0.131280,-0.789957,-1.006792,-1.021340,-0.883657,-0.964228,0.553929
60,-0.998725,-1.064951,0.755631,-0.849198,-0.099507,-0.870541,-0.856851,-1.006161,-0.844749,-0.975161,0.582544
61,-0.742180,-0.692593,0.408548,-0.805545,0.271361,-0.624482,-0.774743,-0.905757,-0.399848,-0.626398,0.343445
62,-0.944073,-1.059556,0.420945,-0.977479,-0.662959,-0.825505,-0.850006,-1.023001,-0.827835,-0.855490,0.337735
63,-0.386658,-0.448412,0.619802,-0.712174,-0.051875,-0.656432,-0.738442,-0.962308,-0.666120,-0.817974,0.398397
64,-0.814324,-0.126995,-0.184202,-0.623268,0.182735,-0.600302,-0.700845,-0.911155,-0.381163,-0.668138,0.280133
65,-0.725387,-1.091560,0.542876,-0.967155,-0.693375,-0.866979,-0.972227,-0.951662,-0.976352,-1.100235,0.553010
66,-0.920100,-0.440040,0.240157,-0.873011,0.528439,-0.804494,-0.824041,-0.921106,-0.929491,-0.867019,0.837528
67,-0.808937,-0.331827,0.327835,-0.697575,0.077180,-0.701907,-0.684058,-0.913742,-0.495798,-0.802167,0.306301
68,-0.802209,-0.220752,0.545080,-0.691925,0.091136,-0.602449,-0.750872,-0.923721,-0.539773,-0.733963,0.418903
69,-0.888291,-1.284811,0.910209,-0.893735,-0.224874,-0.701518,-0.877142,-0.981565,-0.892224,-0.956278,0.340034
70,-0.942538,-1.294517,0.576880,-1.105419,-0.523312,-0.847897,-1.023133,-1.026494,-0.917698,-0.854447,0.366781
71,-0.868306,-1.106649,0.546782,-0.875581,-0.330318,-0.537148,-0.890412,-1.003473,-0.309749,-0.771454,0.352056
72,-0.774676,-0.273277,0.450210,-0.825008,0.272524,-0.637201,-0.761958,-0.857100,-0.610319,-0.748545,0.610149
73,-0.885641,-1.533966,0.806051,-0.949098,-0.449835,-0.751351,-1.058107,-1.016745,-1.202595,-1.089905,0.508494
74,-0.799172,-1.168575,1.114921,-0.983449,0.160068,-0.778221,-0.844328,-1.074336,-1.080024,-0.984251,0.461987
75,-0.682863,-0.598333,0.475640,-0.854358,0.024340,-0.584255,-0.751976,-0.947483,-0.618229,-0.973088,0.325520
76,-0.830455,-1.202719,0.599914,-0.870697,-0.213897,-0.724408,-0.984370,-0.937427,-0.968698,-0.993485,0.262320
77,-0.870793,-0.493957,-0.605499,-0.769344,0.270356,-0.615426,-0.756289,-0.980622,-0.718732,-0.798977,0.101825
78,-0.912641,-0.667351,0.244707,-0.782905,0.058022,-0.567233,-0.624405,-0.983847,-0.805366,-0.920316,0.202607
79,-0.819627,-0.611203,0.689818,-0.698899,0.108590,-0.530697,-0.750179,-0.954304,-0.474970,-0.851284,0.684811
80,-0.908605,-0.513086,0.447408,-0.792807,-0.024946,-0.711961,-0.785615,-0.929455,-0.634060,-0.797710,0.331308
81,-0.923560,-1.198938,0.578558,-0.932593,-0.712330,-0.537749,-0.888890,-1.036064,-0.788707,-0.847934,0.298391
82,-0.987925,-0.996596,0.496418,-0.886037,0.078044,-0.648729,-0.750525,-0.968750,-0.509469,-0.912758,0.276998
83,-0.828914,-0.079511,0.470714,-0.772050,0.064153,-0.491591,-0.737304,-0.916882,-0.552794,-0.618211,0.321353
84,-0.934341,-0.731129,0.541436,-0.801176,-0.128783,-0.554424,-0.868831,-0.964961,-0.839021,-0.856685,0.517369
85,-0.821085,0.805672,0.007619,-0.691393,0.129351,-0.631434,-0.707250,-0.837739,-0.317389,-0.618282,0.347768
86,-0.794157,-0.308299,0.678429,-0.709298,0.376875,-0.754575,-0.717159,-0.948897,-0.500959,-0.743355,0.584968
87,-0.896947,-0.077387,0.702872,-0.862761,0.090786,-0.539157,-0.751892,-0.930922,-0.546734,-0.773810,0.136543
88,-0.862142,-0.598454,0.263238,-0.816926,-0.074531,-0.629675,-0.826405,-0.919628,-0.490896,-0.731599,0.284534
89,-0.900549,-1.212577,0.693591,-0.874776,-0.108038,-0.750644,-0.954257,-1.045742,-0.913796,-0.938157,0.499485
90,-0.855385,-1.514587,1.130483,-0.843942,-0.512044,-0.459831,-0.961474,-1.017541,-0.581892,-0.671817,0.330110
91,-0.862306,-0.174691,-0.137759,-0.734569,-0.271995,-0.776768,-0.760657,-0.933706,-0.539999,-0.742206,0.603442
92,-0.925480,-1.323047,0.631558,-1.025280,-0.440219,-1.019156,-1.052365,-1.062811,-1.032695,-1.070756,0.556459
93,-0.903706,-0.747497,0.441147,-0.557752,-0.145038,-0.331112,-0.828538,-0.966319,-0.739196,-0.245645,0.560375
94,-0.803536,-0.211291,0.395444,-0.711891,0.431788,-0.642027,-0.728362,-0.930631,-0.688575,-0.739656,0.416342
95,-0.860572,-1.172831,0.581332,-0.911216,-0.564986,-0.677606,-0.962833,-0.988663,-1.030028,-0.929447,0.433841
96,-0.945811,-1.011440,0.977590,-0.956093,-0.175332,-0.552478,-0.881261,-0.929440,-0.941308,-0.921713,0.267418
97,-0.958748,-0.983881,0.750950,-0.996191,-0.172866,-0.514302,-1.013118,-0.991040,-0.320228,-0.780670,0.405034
98,-0.800774,0.120296,0.005241,-0.792651,-0.064462,-0.701860,-0.717479,-0.902290,-0.429461,-0.616960,0.422926
