,task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11
0,-0.505670,-1.366469,0.761735,-0.708204,-0.628530,-0.733676,-0.874361,-0.902486,-0.864303,-0.875560,0.271353
1,-0.817711,-1.190169,0.781944,-0.669715,-0.628548,-0.920068,-0.851362,-0.903299,-0.785187,-0.854884,0.148319
2,-0.854829,-0.649189,0.885703,-0.881793,-0.628421,-0.791795,-0.700858,-0.896240,0.602954,-0.850129,0.319458
3,-0.845101,-0.032150,0.488371,-0.082969,-0.628402,-0.507793,-0.770928,-0.872205,-0.074558,-0.267214,0.319179
4,-0.513418,-1.055604,0.641792,-0.753736,-0.628533,-0.812095,-0.851978,-0.900266,-0.066346,-0.784837,0.285279
5,-0.764694,-1.064540,0.599403,-0.910011,-0.628515,-0.631146,-0.829653,-0.900213,-0.804584,-0.876840,0.239938
6,-0.792371,-0.675689,0.204476,-0.807535,-0.628572,-0.814745,-0.852933,-0.902246,-0.098195,-0.891631,0.237297
7,-1.051651,-0.829775,0.607180,-0.500222,-0.628527,-0.648630,-0.523350,-0.901788,-0.688262,-0.830631,0.317403
8,-0.858838,-1.221332,0.684573,-0.877913,-0.628520,-0.682747,-0.861653,-0.898638,-0.848794,-0.839725,0.276551
9,-0.574548,-1.230004,0.758504,-1.020488,-0.628542,-0.863089,-0.882585,-0.901914,-0.813755,-0.868255,0.254441
10,-1.049808,-0.554906,0.574402,-0.589724,-0.628464,-0.713641,-0.851189,-0.901795,-0.902463,-0.527450,0.322874
11,-0.769517,0.728471,-0.786738,-0.444255,-0.630493,-0.738671,-0.316733,-0.881018,-0.503846,-0.559886,0.319685
12,-0.864789,-1.422007,0.801636,-0.986655,-0.628545,-0.719028,-0.875551,-0.901060,-0.838789,-0.838468,0.165338
13,-0.894274,-1.373244,0.748437,-0.957409,-0.628536,-0.805055,-0.885403,-0.901433,-0.526540,-0.870540,0.214846
14,-0.717414,-1.421698,0.812014,-0.873885,-0.628544,-0.900317,-0.883432,-0.901967,-0.913504,-0.906840,0.090767
15,-1.056114,-1.532983,0.791924,-0.986448,-0.628544,-0.846756,-0.886255,-0.901677,-0.921511,-0.897434,0.188191
